lexeme     lineno tokenName       value      parentNode  leaf nodeSymbol
-------------------------------------------------------------------
_unionfunction 4     TK_FUNID                   function     yes ----
input      4     TK_INPUT                   input_par    yes ----
parameter  4     TK_PARAMETER               input_par    yes ----
list       4     TK_LIST                    input_par    yes ----
[          4     TK_SQL                     input_par    yes ----
record     4     TK_RECORD                  constructedDatatype yes ----
#two       4     TK_RUID                    constructedDatatype yes ----
----       0     NONTERMINAL                dataType     no  constructedDatatype
----       0     NONTERMINAL                parameter_list no  dataType
d5cc34     4     TK_ID                      parameter_list yes ----
,          4     TK_COMMA                   remaining_list yes ----
#point     4     TK_RUID                    constructedDatatype yes ----
----       0     NONTERMINAL                dataType     no  constructedDatatype
----       0     NONTERMINAL                parameter_list no  dataType
b5c6       4     TK_ID                      parameter_list yes ----
----       0     NONTERMINAL                parameter_list no  remaining_list
----       0     NONTERMINAL                remaining_list no  parameter_list
----       0     NONTERMINAL                parameter_list no  remaining_list
----       0     NONTERMINAL                input_par    no  parameter_list
]          4     TK_SQR                     input_par    yes ----
----       0     NONTERMINAL                function     no  input_par
output     5     TK_OUTPUT                  output_par   yes ----
parameter  5     TK_PARAMETER               output_par   yes ----
list       5     TK_LIST                    output_par   yes ----
[          5     TK_SQL                     output_par   yes ----
real       5     TK_REAL                    primitiveDatatype yes ----
----       0     NONTERMINAL                dataType     no  primitiveDatatype
----       0     NONTERMINAL                parameter_list no  dataType
d3         5     TK_ID                      parameter_list yes ----
----       0     NONTERMINAL                parameter_list no  remaining_list
----       0     NONTERMINAL                output_par   no  parameter_list
]          5     TK_SQR                     output_par   yes ----
----       0     NONTERMINAL                function     no  output_par
;          5     TK_SEM                     function     yes ----
record     7     TK_RECORD                  typeDefinition yes ----
#two       7     TK_RUID                    typeDefinition yes ----
type       8     TK_TYPE                    fieldDefinition yes ----
#point     8     TK_RUID                    constructedDatatype yes ----
----       0     NONTERMINAL                fieldType    no  constructedDatatype
----       0     NONTERMINAL                fieldDefinition no  fieldType
:          8     TK_COLON                   fieldDefinition yes ----
beginpoint 8     TK_FIELDID                 fieldDefinition yes ----
;          8     TK_SEM                     fieldDefinition yes ----
----       0     NONTERMINAL                fieldDefinitions no  fieldDefinition
type       9     TK_TYPE                    fieldDefinition yes ----
#point     9     TK_RUID                    constructedDatatype yes ----
----       0     NONTERMINAL                fieldType    no  constructedDatatype
----       0     NONTERMINAL                fieldDefinition no  fieldType
:          9     TK_COLON                   fieldDefinition yes ----
endpoint   9     TK_FIELDID                 fieldDefinition yes ----
;          9     TK_SEM                     fieldDefinition yes ----
----       0     NONTERMINAL                fieldDefinitions no  fieldDefinition
----       0     NONTERMINAL                fieldDefinitions no  moreFields
----       0     NONTERMINAL                typeDefinition no  fieldDefinitions
endrecord  10    TK_ENDRECORD               typeDefinition yes ----
----       0     NONTERMINAL                actualOrRedefined no  typeDefinition
----       0     NONTERMINAL                typeDefinitions no  actualOrRedefined
----       0     NONTERMINAL                typeDefinitions no  typeDefinitions
----       0     NONTERMINAL                stmts        no  typeDefinitions
type       13    TK_TYPE                    declaration  yes ----
record     13    TK_RECORD                  constructedDatatype yes ----
#two       13    TK_RUID                    constructedDatatype yes ----
