lexeme     lineno tokenName       value      parentNode  leaf nodeSymbol
-------------------------------------------------------------------
_computeFunctionValue 6     TK_FUNID                   function     yes ----
input      6     TK_INPUT                   input_par    yes ----
parameter  6     TK_PARAMETER               input_par    yes ----
list       6     TK_LIST                    input_par    yes ----
[          6     TK_SQL                     input_par    yes ----
int        6     TK_INT                     primitiveDatatype yes ----
----       0     NONTERMINAL                dataType     no  primitiveDatatype
----       0     NONTERMINAL                parameter_list no  dataType
c3         6     TK_ID                      parameter_list yes ----
,          6     TK_COMMA                   remaining_list yes ----
int        6     TK_INT                     primitiveDatatype yes ----
----       0     NONTERMINAL                dataType     no  primitiveDatatype
----       0     NONTERMINAL                parameter_list no  dataType
c4         6     TK_ID                      parameter_list yes ----
,          6     TK_COMMA                   remaining_list yes ----
int        6     TK_INT                     primitiveDatatype yes ----
----       0     NONTERMINAL                dataType     no  primitiveDatatype
----       0     NONTERMINAL                parameter_list no  dataType
c5         6     TK_ID                      parameter_list yes ----
----       0     NONTERMINAL                parameter_list no  remaining_list
----       0     NONTERMINAL                remaining_list no  parameter_list
----       0     NONTERMINAL                parameter_list no  remaining_list
----       0     NONTERMINAL                remaining_list no  parameter_list
----       0     NONTERMINAL                parameter_list no  remaining_list
----       0     NONTERMINAL                input_par    no  parameter_list
]          6     TK_SQR                     input_par    yes ----
----       0     NONTERMINAL                function     no  input_par
output     7     TK_OUTPUT                  output_par   yes ----
parameter  7     TK_PARAMETER               output_par   yes ----
           0     TK_LIST                    output_par   yes ----
           0     TK_SQL                     output_par   yes ----
----       0     NONTERMINAL                output_par   no  parameter_list
]          7     TK_SQR                     output_par   yes ----
----       0     NONTERMINAL                function     no  output_par
;          7     TK_SEM                     function     yes ----
----       0     NONTERMINAL                stmts        no  typeDefinitions
type       8     TK_TYPE                    declaration  yes ----
real       8     TK_REAL                    primitiveDatatype yes ----
----       0     NONTERMINAL                dataType     no  primitiveDatatype
----       0     NONTERMINAL                declaration  no  dataType
:          8     TK_COLON                   declaration  yes ----
           0     TK_ID                      declaration  yes ----
----       0     NONTERMINAL                declaration  no  global_or_not
;          8     TK_SEM                     declaration  yes ----
----       0     NONTERMINAL                declarations no  declaration
