Lexeme                CurrentNode                     LineNo  TokenName               ValueIfNum    ParentNodeSymbol                IsLeaf  NodeSymbol
----------------------------------------------------------------------------------------------------------------------------
_readMarks            ----                            8       TK_FUNID                ---           function                        yes     ----
----                  function                        8       ----                    ---           otherFunctions                  no      function
input                 ----                            8       TK_INPUT                ---           input_par                       yes     ----
----                  input_par                       8       ----                    ---           function                        no      input_par
parameter             ----                            8       TK_PARAMETER            ---           input_par                       yes     ----
list                  ----                            8       TK_LIST                 ---           input_par                       yes     ----
[                     ----                            8       TK_SQL                  ---           input_par                       yes     ----
int                   ----                            8       TK_INT                  ---           primitiveDatatype               yes     ----
----                  primitiveDatatype               8       ----                    ---           dataType                        no      primitiveDatatype
----                  dataType                        0       ----                    ---           parameter_list                  no      dataType
----                  parameter_list                  0       ----                    ---           input_par                       no      parameter_list
b7                    ----                            8       TK_ID                   ---           parameter_list                  yes     ----
eps                   ----                            8       TK_EOF                  ---           remaining_list                  yes     ----
----                  remaining_list                  8       ----                    ---           parameter_list                  no      remaining_list
]                     ----                            8       TK_SQR                  ---           input_par                       yes     ----
output                ----                            9       TK_OUTPUT               ---           output_par                      yes     ----
----                  output_par                      9       ----                    ---           function                        no      output_par
parameter             ----                            9       TK_PARAMETER            ---           output_par                      yes     ----
list                  ----                            9       TK_LIST                 ---           output_par                      yes     ----
[                     ----                            9       TK_SQL                  ---           output_par                      yes     ----
record                ----                            9       TK_RECORD               ---           constructedDatatype             yes     ----
----                  constructedDatatype             9       ----                    ---           dataType                        no      constructedDatatype
#marks                ----                            9       TK_RUID                 ---           constructedDatatype             yes     ----
----                  dataType                        0       ----                    ---           parameter_list                  no      dataType
----                  parameter_list                  0       ----                    ---           output_par                      no      parameter_list
b3c45                 ----                            9       TK_ID                   ---           parameter_list                  yes     ----
eps                   ----                            9       TK_EOF                  ---           remaining_list                  yes     ----
----                  remaining_list                  9       ----                    ---           parameter_list                  no      remaining_list
]                     ----                            9       TK_SQR                  ---           output_par                      yes     ----
;                     ----                            9       TK_SEM                  ---           function                        yes     ----
eps                   ----                            10      TK_EOF                  ---           typeDefinitions                 yes     ----
----                  typeDefinitions                 10      ----                    ---           stmts                           no      typeDefinitions
----                  stmts                           0       ----                    ---           function                        no      stmts
eps                   ----                            10      TK_EOF                  ---           declarations                    yes     ----
----                  declarations                    10      ----                    ---           stmts                           no      declarations
read                  ----                            10      TK_READ                 ---           ioStmt                          yes     ----
----                  ioStmt                          10      ----                    ---           stmt                            no      ioStmt
(                     ----                            10      TK_OP                   ---           ioStmt                          yes     ----
b3c45                 ----                            10      TK_ID                   ---           singleOrRecId                   yes     ----
----                  singleOrRecId                   10      ----                    ---           var                             no      singleOrRecId
.                     ----                            10      TK_DOT                  ---           oneExpansion                    yes     ----
----                  oneExpansion                    10      ----                    ---           option_single_constructed       no      oneExpansion
maths                 ----                            10      TK_FIELDID              ---           oneExpansion                    yes     ----
----                  option_single_constructed       0       ----                    ---           singleOrRecId                   no      option_single_constructed
eps                   ----                            10      TK_EOF                  ---           moreExpansions                  yes     ----
----                  moreExpansions                  10      ----                    ---           option_single_constructed       no      moreExpansions
----                  var                             0       ----                    ---           ioStmt                          no      var
)                     ----                            10      TK_CL                   ---           ioStmt                          yes     ----
;                     ----                            10      TK_SEM                  ---           ioStmt                          yes     ----
----                  stmt                            0       ----                    ---           otherStmts                      no      stmt
----                  otherStmts                      0       ----                    ---           stmts                           no      otherStmts
read                  ----                            11      TK_READ                 ---           ioStmt                          yes     ----
----                  ioStmt                          11      ----                    ---           stmt                            no      ioStmt
(                     ----                            11      TK_OP                   ---           ioStmt                          yes     ----
b3c45                 ----                            11      TK_ID                   ---           singleOrRecId                   yes     ----
----                  singleOrRecId                   11      ----                    ---           var                             no      singleOrRecId
.                     ----                            11      TK_DOT                  ---           oneExpansion                    yes     ----
----                  oneExpansion                    11      ----                    ---           option_single_constructed       no      oneExpansion
physics               ----                            11      TK_FIELDID              ---           oneExpansion                    yes     ----
----                  option_single_constructed       0       ----                    ---           singleOrRecId                   no      option_single_constructed
eps                   ----                            11      TK_EOF                  ---           moreExpansions                  yes     ----
----                  moreExpansions                  11      ----                    ---           option_single_constructed       no      moreExpansions
----                  var                             0       ----                    ---           ioStmt                          no      var
)                     ----                            11      TK_CL                   ---           ioStmt                          yes     ----
;                     ----                            11      TK_SEM                  ---           ioStmt                          yes     ----
----                  stmt                            0       ----                    ---           otherStmts                      no      stmt
----                  otherStmts                      0       ----                    ---           otherStmts                      no      otherStmts
read                  ----                            12      TK_READ                 ---           ioStmt                          yes     ----
----                  ioStmt                          12      ----                    ---           stmt                            no      ioStmt
(                     ----                            12      TK_OP                   ---           ioStmt                          yes     ----
b3c45                 ----                            12      TK_ID                   ---           singleOrRecId                   yes     ----
----                  singleOrRecId                   12      ----                    ---           var                             no      singleOrRecId
.                     ----                            12      TK_DOT                  ---           oneExpansion                    yes     ----
----                  oneExpansion                    12      ----                    ---           option_single_constructed       no      oneExpansion
chemistry             ----                            12      TK_FIELDID              ---           oneExpansion                    yes     ----
----                  option_single_constructed       0       ----                    ---           singleOrRecId                   no      option_single_constructed
eps                   ----                            12      TK_EOF                  ---           moreExpansions                  yes     ----
----                  moreExpansions                  12      ----                    ---           option_single_constructed       no      moreExpansions
----                  var                             0       ----                    ---           ioStmt                          no      var
)                     ----                            12      TK_CL                   ---           ioStmt                          yes     ----
;                     ----                            12      TK_SEM                  ---           ioStmt                          yes     ----
----                  stmt                            0       ----                    ---           otherStmts                      no      stmt
----                  otherStmts                      0       ----                    ---           otherStmts                      no      otherStmts
eps                   ----                            13      TK_EOF                  ---           otherStmts                      yes     ----
----                  otherStmts                      13      ----                    ---           otherStmts                      no      otherStmts
return                ----                            13      TK_RETURN               ---           returnStmt                      yes     ----
----                  returnStmt                      13      ----                    ---           stmts                           no      returnStmt
[                     ----                            13      TK_SQL                  ---           optionalReturn                  yes     ----
----                  optionalReturn                  13      ----                    ---           returnStmt                      no      optionalReturn
b3c45                 ----                            13      TK_ID                   ---           idList                          yes     ----
----                  idList                          13      ----                    ---           optionalReturn                  no      idList
eps                   ----                            13      TK_EOF                  ---           more_ids                        yes     ----
----                  more_ids                        13      ----                    ---           idList                          no      more_ids
]                     ----                            13      TK_SQR                  ---           optionalReturn                  yes     ----
;                     ----                            13      TK_SEM                  ---           returnStmt                      yes     ----
end                   ----                            14      TK_END                  ---           function                        yes     ----
----                  otherFunctions                  0       ----                    ---           program                         no      otherFunctions
eps                   ----                            20      TK_EOF                  ---           otherFunctions                  yes     ----
----                  otherFunctions                  20      ----                    ---           otherFunctions                  no      otherFunctions
----                  program                         0       ----                    ---           ROOT                            no      program
_main                 ----                            20      TK_MAIN                 ---           mainFunction                    yes     ----
----                  mainFunction                    20      ----                    ---           program                         no      mainFunction
record                ----                            21      TK_RECORD               ---           typeDefinition                  yes     ----
----                  typeDefinition                  21      ----                    ---           actualOrRedefined               no      typeDefinition
#marks                ----                            21      TK_RUID                 ---           typeDefinition                  yes     ----
type                  ----                            22      TK_TYPE                 ---           fieldDefinition                 yes     ----
----                  fieldDefinition                 22      ----                    ---           fieldDefinitions                no      fieldDefinition
real                  ----                            22      TK_REAL                 ---           primitiveDatatype               yes     ----
----                  primitiveDatatype               22      ----                    ---           fieldType                       no      primitiveDatatype
----                  fieldType                       0       ----                    ---           fieldDefinition                 no      fieldType
:                     ----                            22      TK_COLON                ---           fieldDefinition                 yes     ----
maths                 ----                            22      TK_FIELDID              ---           fieldDefinition                 yes     ----
;                     ----                            22      TK_SEM                  ---           fieldDefinition                 yes     ----
----                  fieldDefinitions                0       ----                    ---           typeDefinition                  no      fieldDefinitions
type                  ----                            23      TK_TYPE                 ---           fieldDefinition                 yes     ----
----                  fieldDefinition                 23      ----                    ---           fieldDefinitions                no      fieldDefinition
real                  ----                            23      TK_REAL                 ---           primitiveDatatype               yes     ----
----                  primitiveDatatype               23      ----                    ---           fieldType                       no      primitiveDatatype
----                  fieldType                       0       ----                    ---           fieldDefinition                 no      fieldType
:                     ----                            23      TK_COLON                ---           fieldDefinition                 yes     ----
physics               ----                            23      TK_FIELDID              ---           fieldDefinition                 yes     ----
;                     ----                            23      TK_SEM                  ---           fieldDefinition                 yes     ----
type                  ----                            24      TK_TYPE                 ---           fieldDefinition                 yes     ----
----                  fieldDefinition                 24      ----                    ---           moreFields                      no      fieldDefinition
real                  ----                            24      TK_REAL                 ---           primitiveDatatype               yes     ----
